replication,seed,population,strategy,peak_load_ratio,overcrowded_poi_time_pct,top_10_visit_share,visit_gini,district_entropy,catalog_coverage,tourist_satisfaction,recommendation_acceptance,mean_distance_km,budget_compliance,precision_at_5,recall_at_5,diversity,novelty,exposure_fairness,mean_sustainability,mean_local_economic,completed_visit_share
23,1023,5000,personalized,0.6981818181818182,0.0,0.13545,0.3630583333333335,0.9734940328032544,0.9666666666666667,0.7875970285792241,0.29695,2.591841140152857,1.0,0.70544,0.5704401961989249,0.33015500000000003,0.5406847,0.6369416666666665,0.808116,0.717858,1.0
23,1023,5000,sustainability,0.6654545454545454,0.0,0.07645,0.4052433333333334,0.9999983816560398,0.9666666666666667,0.718877480700628,0.31025,2.4149243897503982,1.0,0.42278000000000004,0.32596258992254734,0.8789950000000001,0.5684771999999999,0.5947566666666666,0.820783,0.744292,1.0
24,1024,5000,popularity,1.3518716577540106,1.6666666666666667,0.77775,0.8556950000000001,0.6709844791181405,0.4166666666666667,0.5307414673648609,0.28735,1.7054697323120824,1.0,0.15321,0.14601993280047265,0.8925150000000002,0.18037520000000004,0.1443049999999999,0.6781415000000001,0.6062535000000001,1.0
24,1024,5000,personalized,0.6327272727272727,0.0,0.1335,0.3559433333333335,0.975292983240629,0.9833333333333333,0.7870506655109643,0.29555,2.5928041548370833,1.0,0.7061,0.5684407575222764,0.33573,0.5405529,0.6440566666666665,0.806441,0.7193410000000001,1.0
24,1024,5000,sustainability,0.6763636363636364,0.0,0.07685,0.4073716666666667,0.9999992943032603,0.9666666666666667,0.7175233261532176,0.3115,2.4095090194832163,1.0,0.42243,0.3247340694373995,0.880425,0.5676829999999999,0.5926283333333333,0.8199380000000001,0.74672,1.0
25,1025,5000,popularity,1.3283422459893046,1.6666666666666667,0.78085,0.8568733333333334,0.7139313349418314,0.4,0.5313100584510984,0.2894,1.705643869874596,1.0,0.1553,0.15240780398007567,0.8927900000000002,0.1806936,0.14312666666666662,0.6782945,0.6049555,1.0
25,1025,5000,personalized,0.6909090909090909,0.0,0.1362,0.3597783333333333,0.973937941084671,0.9833333333333333,0.7890598537821822,0.29865,2.5670410460738946,1.0,0.7054799999999999,0.5695907919288744,0.33005500000000004,0.5397984,0.6402216666666667,0.80709,0.721684,1.0
25,1025,5000,sustainability,0.6836363636363636,0.0,0.07775,0.41043166666666675,0.9999998153976533,0.9833333333333333,0.7196196978439877,0.31215,2.3906796569937883,1.0,0.42490999999999995,0.325029081224503,0.8786100000000002,0.5688633,0.5895683333333332,0.8198614999999998,0.746842,1.0
26,1026,5000,popularity,1.360427807486631,1.6666666666666667,0.7787,0.8563050000000001,0.6662221490697808,0.4166666666666667,0.5302972434035395,0.28785,1.6818017283307238,1.0,0.15227,0.14670718449743414,0.893545,0.1802802,0.1436949999999999,0.6777545,0.6057135,1.0
26,1026,5000,personalized,0.6618181818181819,0.0,0.13635,0.3565666666666667,0.9748544322122551,0.9666666666666667,0.7909630964914559,0.295,2.6057116485940477,1.0,0.71167,0.5729231884985929,0.33138999999999996,0.5426095999999999,0.6434333333333333,0.8064844999999999,0.7208445,1.0
26,1026,5000,sustainability,0.6763636363636364,0.0,0.0761,0.4083483333333333,0.9999997393417093,0.9833333333333333,0.7205761411108667,0.31335,2.3821900799532885,1.0,0.42972000000000005,0.32565141384522767,0.8775000000000002,0.5660443000000001,0.5916516666666667,0.8201615,0.7459805,1.0
27,1027,5000,popularity,1.364705882352941,1.6666666666666667,0.77885,0.8559566666666667,0.6694956028047715,0.4,0.5320086489353832,0.2839,1.7053957065180918,1.0,0.15571,0.15004694725767867,0.8921050000000001,0.18027800000000002,0.1440433333333333,0.6783315000000001,0.606355,1.0
27,1027,5000,personalized,0.5818181818181818,0.0,0.1425,0.3588883333333335,0.9753174954617262,0.9666666666666667,0.7844523966847325,0.2908,2.57851651987873,1.0,0.6991400000000001,0.5668488589996175,0.33309,0.5379269000000001,0.6411116666666665,0.8049259999999999,0.720295,1.0
27,1027,5000,sustainability,0.6654545454545454,0.0,0.07695,0.4111383333333334,0.9999995873004297,0.9666666666666667,0.7144043000386064,0.30175,2.390342219919811,1.0,0.42113999999999996,0.3230228830872,0.8803500000000002,0.5680594,0.5888616666666666,0.8206479999999999,0.747235,1.0
28,1028,5000,popularity,1.3796791443850265,1.6666666666666667,0.7735,0.8546333333333334,0.7165129921472572,0.4,0.5311882719982435,0.283,1.6953372544209888,1.0,0.15131,0.15111433655268022,0.8925050000000001,0.18099050000000003,0.14536666666666664,0.677312,0.606116,1.0
28,1028,5000,personalized,0.6763636363636364,0.0,0.1383,0.35801666666666665,0.9755395582768497,0.9666666666666667,0.787699914271253,0.2915,2.5906311151018437,1.0,0.7006,0.5754438222424291,0.33649500000000004,0.5400062,0.6419833333333334,0.8059894999999999,0.7184934999999999,1.0
28,1028,5000,sustainability,0.6618181818181819,0.0,0.07695,0.4045883333333333,0.9999998371178205,0.9666666666666667,0.7174010045670768,0.30485,2.420275122071348,1.0,0.42268,0.33038886708729004,0.881375,0.5684718,0.5954116666666667,0.8199145,0.7444230000000001,1.0
29,1029,5000,popularity,1.4566844919786095,1.6666666666666667,0.77415,0.8560283333333334,0.668902440912646,0.4,0.5322900593743201,0.2858,1.713558066649649,1.0,0.15657000000000001,0.15149811376467529,0.8923,0.1808968,0.1439716666666666,0.6783399999999999,0.6075035,1.0
29,1029,5000,personalized,0.6909090909090909,0.0,0.1393,0.35838499999999995,0.9743987732681558,0.9666666666666667,0.7864724447380319,0.29455,2.5879643865125335,1.0,0.7060799999999999,0.5776462533188346,0.33424499999999996,0.5401324,0.641615,0.806257,0.7205865,1.0
29,1029,5000,sustainability,0.6727272727272727,0.0,0.07775,0.4085983333333334,0.9999999565651184,0.9666666666666667,0.7173369198359543,0.3084,2.389197424937051,1.0,0.42286,0.3242578173698936,0.879245,0.5713574,0.5914016666666666,0.8203185,0.7455695,1.0
