strategy,slot,poi_id,poi_name,district,lat,lon,nominal_capacity,capacity,occupancy,load_ratio
personalized,4,P041,Horta Market,Horta-Guinardo,41.4298,2.1605,450,247.50000000000003,74,0.298989898989899
personalized,4,P042,Masia Can Fargas,Horta-Guinardo,41.4256,2.1657,300,165.0,62,0.37575757575757573
personalized,4,P043,Parc Central de Nou Barris,Nou Barris,41.438,2.1719,1100,605.0,104,0.171900826446281
personalized,4,P044,Castell de Torre Baro,Nou Barris,41.4588,2.1767,300,165.0,33,0.2
personalized,4,P045,Nou Barris Technology Park,Nou Barris,41.435,2.1785,350,192.50000000000003,82,0.4259740259740259
personalized,4,P046,Guineueta Market,Nou Barris,41.4392,2.1691,400,220.00000000000003,53,0.24090909090909088
personalized,4,P047,Casa de l'Aigua,Nou Barris,41.4506,2.1858,300,165.0,67,0.40606060606060607
personalized,4,P048,Ateneu Popular 9 Barris,Nou Barris,41.4459,2.175,450,247.50000000000003,32,0.12929292929292927
personalized,4,P049,Fabra i Coats,Sant Andreu,41.4354,2.1894,550,302.5,100,0.3305785123966942
personalized,4,P050,Sant Andreu Market,Sant Andreu,41.4358,2.1898,500,275.0,64,0.23272727272727273
personalized,4,P051,Church of Sant Andreu de Palomar,Sant Andreu,41.4361,2.19,350,192.50000000000003,99,0.5142857142857142
personalized,4,P052,La Pegaso Park,Sant Andreu,41.4264,2.1911,850,467.50000000000006,92,0.19679144385026737
personalized,4,P053,Bon Pastor Museum Houses,Sant Andreu,41.437,2.204,250,137.5,73,0.5309090909090909
personalized,4,P054,Trinitat Vella Community Centre,Sant Andreu,41.4504,2.1925,300,165.0,70,0.42424242424242425
personalized,4,P055,Ciutadella Park,Sant Marti,41.3881,2.1875,1500,825.0000000000001,130,0.15757575757575756
personalized,4,P056,Design Museum of Barcelona,Sant Marti,41.4024,2.1882,600,330.0,37,0.11212121212121212
personalized,4,P057,Encants Market,Sant Marti,41.4044,2.1877,800,440.00000000000006,118,0.26818181818181813
personalized,4,P058,Poblenou Cemetery,Sant Marti,41.3977,2.2045,450,247.50000000000003,69,0.27878787878787875
